TermName,Label_en,Definition,Comments,absoluteorder
acceptedNameUsage,Accepted Name Usage,"The full name, with authorship and date information if known, of the currently valid (zoological) or accepted (botanical) taxon.","Example: ""Tamias minimus"" valid name for ""Eutamias minimus""",145
acceptedNameUsageID,Accepted Name Usage ID,An identifier for the name usage (documented meaning of the name according to a source) of the currently valid (zoological) or accepted (botanical) taxon.,"Example: ""8fa58e08-08de-4ac1-b69c-1235340b7001""",138
associatedMedia,Associated Media,"A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of media associated with the Occurrence.","The recommended best practice is to separate the values with a vertical bar (' | '). Examples: ""http://arctos.database.museum/SpecimenImages/UAMObs/Mamm/2/P7291179.JPG"", ""http://204.140.246.24/Fish/Collection%20Pictures/10118-00.jpg | http://204.140.246.24/Fish/Collection%20Pictures/10118-00a.jpg"".",34
associatedOccurrences,Associated Occurrences,A list (concatenated and separated) of identifiers of other Occurrence records and their associations to this Occurrence.,The recommended best practice is to separate the values with a vertical bar (' | ').,43
associatedOrganisms,Associated Organisms,A list (concatenated and separated) of identifiers of other Organisms and their associations to this Organism.,"The recommended best practice is to separate the values with a vertical bar (' | '). Examples: ""sibling of MXA-232"", ""mother of MXA-231 | mother of MXA-232""",44
associatedReferences,Associated References,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with the Occurrence.","The recommended best practice is to separate the values with a vertical bar (' | '). Examples: ""http://www.sciencemag.org/cgi/content/abstract/322/5899/261"", ""Christopher J. Conroy, Jennifer L. Neuwald. 2008. Phylogeographic study of the California vole, Microtus californicus Journal of Mammalogy, 89(3):755-767."", ""Steven R. Hoofer and Ronald A. Van Den Bussche. 2001. Phylogenetic Relationships of Plecotine Bats and Allies Based on Mitochondrial Ribosomal Sequences. Journal of Mammalogy 82(1):131-137. | Walker, Faith M., Jeffrey T. Foster, Kevin P. Drees, Carol L. Chambers. 2014. Spotted bat (Euderma maculatum) microsatellite discovery using illumina sequencing. Conservation Genetics Resources."".",35
associatedSequences,Associated Sequences,"A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of genetic sequence information associated with the Occurrence.","The recommended best practice is to separate the values with a vertical bar (' | '). Examples: ""http://www.ncbi.nlm.nih.gov/nuccore/U34853.1"", ""http://www.ncbi.nlm.nih.gov/nuccore/GU328060 | http://www.ncbi.nlm.nih.gov/nuccore/AF326093"".",36
associatedTaxa,Associated Taxa,A list (concatenated and separated) of identifiers or names of taxa and their associations with the Occurrence.,"The recommended best practice is to separate the values with a vertical bar (' | '), and to separate the relationship from the taxon with a colon (':'). Examples: ""host: Quercus alba"", ""parasitoid of:Cyclocephala signaticollis | predator of Apis mellifera"".",37
basisOfRecord,Basis of Record,The specific nature of the data record.,"Recommended best practice is to use a controlled vocabulary such as the list of Darwin Core classes. Examples: ""PreservedSpecimen"", ""FossilSpecimen"", ""LivingSpecimen"", ""HumanObservation"", ""MachineObservation""",15
bed,Bed,The full name of the lithostratigraphic bed from which the cataloged item was collected.,,127
behavior,Behavior,A description of the behavior shown by the subject at the time the Occurrence was recorded.  Recommended best practice is to use a controlled vocabulary.,"Examples: ""roosting"", ""foraging"", ""running""",29
catalogNumber,Catalog Number,An identifier (preferably unique) for the record within the data set or collection.,"Examples: ""2008.1334"", ""145732a"", ""145732""",20
class,Class,The full scientific name of the class in which the taxon is classified.,"Examples: ""Mammalia"", ""Hepaticopsida""",154
collectionCode,Collection Code,"The name, acronym, coden, or initialism identifying the collection or data set from which the record was derived.","Examples: ""Mammals"", ""Hildebrandt"", ""eBird""",12
collectionID,Collection ID,An identifier for the collection or dataset from which the record was derived.,"For physical specimens, the recommended best practice is to use an identifier from a collections registry such as the Global Registry of Biodiversity Repositories (http://grbio.org/). Examples: ""http://biocol.org/urn:lsid:biocol.org:col:1001"", ""http://grbio.org/cool/p5fp-c036"".",9
continent,Continent,The name of the continent in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"Examples: ""Africa"", ""Antarctica"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""",69
coordinatePrecision,Coordinate Precision,A decimal representation of the precision of the coordinates given in the decimalLatitude and decimalLongitude.,"Examples: ""0.00001"" (normal GPS limit for decimal degrees), ""0.000278"" (nearest second), ""0.01667"" (nearest minute), ""1.0"" (nearest degree)",94
coordinateUncertaintyInMeters,Coordinate Uncertainty In Meters,"The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Leave the value empty if the uncertainty is unknown, cannot be estimated, or is not applicable (because there are no coordinates). Zero is not a valid value for this term.","Examples: ""30"" (reasonable lower limit of a GPS reading under good conditions if the actual precision was not recorded at the time), ""71"" (uncertainty for a UTM coordinate having 100 meter precision and a known spatial reference system).",93
country,Country,The name of the country or major administrative unit in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"Examples: ""Denmark"", ""Colombia"", ""España""",73
countryCode,Country Code,The standard code for the country in which the Location occurs. Recommended best practice is to use ISO 3166-1-alpha-2 country codes.,"Examples: ""AR"" for Argentina, ""SV"" for El Salvador",74
county,County,"The full, unabbreviated name of the next smaller administrative region than stateProvince (county, shire, department, etc.) in which the Location occurs.","Examples: ""Missoula"", ""Los Lagos"", ""Mataró""",76
dataGeneralizations,Data Generalizations,Actions taken to make the shared data less specific or complete than in its original form. Suggests that alternative data of higher quality may be available on request.,"Example: ""Coordinates generalized from original GPS coordinates to the nearest half degree grid cell""",17
datasetID,Dataset ID,An identifier for the set of data. May be a global unique identifier or an identifier specific to a collection or institution.,,10
datasetName,Dataset Name,The name identifying the data set from which the record was derived.,"Examples: ""Grinnell Resurvey Mammals"", ""Lacey Ctenomys Recaptures""",13
dateIdentified,Date Identified,"The date on which the subject was identified as representing the Taxon. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).","Examples: ""1963-03-08T14:07-0600"" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, ""2009-02-20T08:40Z"" is 20 Feb 2009 8:40am UTC, ""1809-02-12"" is 12 Feb 1809, ""1906-06"" is Jun 1906, ""1971"" is just that year, ""2007-03-01T13:00:00Z/2008-05-11T15:30:00Z"" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, ""2007-11-13/15"" is the interval between 13 Nov 2007 and 15 Nov 2007.",132
day,Day,The integer day of the month on which the Event occurred.,"Examples: ""9"", ""28""",57
dcterms:accessRights,Access Rights,"Information about who can access the resource or an indication of its security status. Access Rights may include information regarding access or restrictions based on privacy, security, or other policies.","Example: ""not-for-profit use only""",5
dcterms:bibliographicCitation,Bibliographic Citation,A bibliographic reference for the resource as a statement indicating how this record should be cited (attributed) when used. Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible.,"Examples: ""Ctenomys sociabilis (MVZ 165861)"" for a specimen, ""Oliver P. Pearson. 1985. Los tuco-tucos (genera Ctenomys) de los Parques Nacionales Lanin y Nahuel Huapi, Argentina Historia Natural, 5(37):337-343."" for a Taxon",6
dcterms:language,Language,A language of the resource. Recommended best practice is to use a controlled vocabulary such as RFC 4646 [RFC4646].,"Examples: ""en"" for English, ""es"" for Spanish.",2
dcterms:license,License,A legal document giving official permission to do something with the resource.,"Examples: ""http://creativecommons.org/publicdomain/zero/1.0/legalcode"", ""http://creativecommons.org/licenses/by/4.0/legalcode""",3
dcterms:modified,Modified,"The most recent date-time on which the resource was changed. For Darwin Core, recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).","Examples: ""1963-03-08T14:07-0600"" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, ""2009-02-20T08:40Z"" is 20 Feb 2009 8:40am UTC, ""1809-02-12"" is 12 Feb 1809, ""1906-06"" is Jun 1906, ""1971"" is just that year, ""2007-03-01T13:00:00Z/2008-05-11T15:30:00Z"" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, ""2007-11-13/15"" is the interval between 13 Nov 2007 and 15 Nov 2007.",1
dcterms:references,References,"A related resource that is referenced, cited, or otherwise pointed to by the described resource.","Examples: ""http://mvzarctos.berkeley.edu/guid/MVZ:Mamm:165861""; ""http://www.catalogueoflife.org/annual-checklist/show_species_details.php?record_id=6197868""",7
dcterms:rightsHolder,Rights Holder,A person or organization owning or managing rights over the resource.,"Example: ""The Regents of the University of California.""",4
dcterms:type,Type,"The nature or genre of the resource. For Darwin Core, recommended best practice is to use the name of the class that defines the root of the record.","Examples: ""StillImage"", ""MovingImage"", ""Sound"", ""PhysicalObject"", ""Event"", ""Text""",0
decimalLatitude,Decimal Latitude,"The geographic latitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are north of the Equator, negative values are south of it. Legal values lie between -90 and 90, inclusive.","Example: ""-41.0983423""",90
decimalLongitude,Decimal Longitude,"The geographic longitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are east of the Greenwich Meridian, negative values are west of it. Legal values lie between -180 and 180, inclusive.","Example: ""-121.1761111""",91
disposition,Disposition,The current state of a specimen with respect to the collection identified in collectionCode or collectionID. Recommended best practice is to use a controlled vocabulary.,"Examples: ""in collection"", ""missing"", ""voucher elsewhere"", ""duplicates elsewhere""",33
dynamicProperties,Dynamic Properties,"A list of additional measurements, facts, characteristics, or assertions about the record. Meant to provide a mechanism for structured content.","The recommended best practice is to use a key:value encoding schema such as JSON. Examples: ""{""heightInMeters"":1.5}"", ""{""tragusLengthInMeters"":0.014, ""weightInGrams"":120}"", ""{""natureOfID"":""expert identification"", ""identificationEvidence"":""cytochrome B sequence""}"", ""{""relativeHumidity"":28, ""airTemperatureInCelcius"":22, ""sampleSizeInKilograms"":10}"", ""{""aspectHeading"":277, ""slopeInDegrees"":6}"", ""{""iucnStatus"":""vulnerable"", ""taxonDistribution"":""Neuquén, Argentina""}"".",18
earliestAgeOrLowestStage,Earliest Age Or Lowest Stage,The full name of the earliest possible geochronologic age or lowest chronostratigraphic stage attributable to the stratigraphic horizon from which the cataloged item was collected.,"Examples: ""Atlantic"", ""Boreal"", ""Skullrockian""",119
earliestEonOrLowestEonothem,Earliest Eon Or Lowest Eonothem,"The full name of the earliest possible geochronologic eon or lowest chrono-stratigraphic eonothem or the informal name (""Precambrian"") attributable to the stratigraphic horizon from which the cataloged item was collected.","Examples: ""Phanerozoic"", ""Proterozoic""",111
earliestEpochOrLowestSeries,Earliest Epoch Or Lowest Series,The full name of the earliest possible geochronologic epoch or lowest chronostratigraphic series attributable to the stratigraphic horizon from which the cataloged item was collected.,"Examples: ""Holocene"", ""Pleistocene"", ""Ibexian Series""",117
earliestEraOrLowestErathem,Earliest Era Or Lowest Erathem,The full name of the earliest possible geochronologic era or lowest chronostratigraphic erathem attributable to the stratigraphic horizon from which the cataloged item was collected.,"Examples: ""Cenozoic"", ""Mesozoic""",113
earliestPeriodOrLowestSystem,Earliest Period Or Lowest System,The full name of the earliest possible geochronologic period or lowest chronostratigraphic system attributable to the stratigraphic horizon from which the cataloged item was collected.,"Examples: ""Neogene"", ""Tertiary"", ""Quaternary""",115
endDayOfYear,End Day Of Year,"The latest ordinal day of the year on which the Event occurred (1 for January 1, 365 for December 31, except in a leap year, in which case it is 366).","Examples: ""1"" (=1 Jan), ""366"" (=31 Dec), ""365"" (=30 Dec in a leap year, 31 Dec in a non-leap year)",54
establishmentMeans,Establishment Means,The process by which the biological individual(s) represented in the Occurrence became established at the location. Recommended best practice is to use a controlled vocabulary.,"Examples: ""native"", ""introduced"", ""naturalised"", ""invasive"", ""managed""",30
eventDate,Event Date,"The date-time or interval during which an Event occurred. For occurrences, this is the date-time when the event was recorded. Not suitable for a time in a geological context. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).","Examples: ""1963-03-08T14:07-0600"" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, ""2009-02-20T08:40Z"" is 20 Feb 2009 8:40am UTC, ""1809-02-12"" is 12 Feb 1809, ""1906-06"" is Jun 1906, ""1971"" is just that year, ""2007-03-01T13:00:00Z/2008-05-11T15:30:00Z"" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, ""2007-11-13/15"" is the interval between 13 Nov 2007 and 15 Nov 2007.",51
eventID,Event ID,An identifier for the set of information associated with an Event (something that occurs at a place and time). May be a global unique identifier or an identifier specific to the data set.,,48
eventRemarks,Event Remarks,Comments or notes about the Event.,"Example: ""after the recent rains the river is nearly at flood stage""",65
eventTime,Event Time,"The time or interval during which an Event occurred. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).","Examples: ""14:07-0600"" is 2:07pm in the time zone six hours earlier than UTC, ""08:40:21Z"" is 8:40:21am UTC, ""13:00:00Z/15:30:00Z"" is the interval between 1pm UTC and 3:30pm UTC.",52
family,Family,The full scientific name of the family in which the taxon is classified.,"Examples: ""Felidae"", ""Monocleaceae""",156
fieldNotes,Field Notes,"One of a) an indicator of the existence of, b) a reference to (publication, URI), or c) the text of notes taken in the field about the Event.","Example: ""notes available in Grinnell-Miller Library""",64
fieldNumber,Field Number,An identifier given to the event in the field. Often serves as a link between field notes and the Event.,"Example: ""RV Sol 87-03-08""",50
footprintSpatialFit,Footprint Spatial Fit,"The ratio of the area of the footprint (footprintWKT) to the area of the true (original, or most specific) spatial representation of the Location. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given footprint does not completely contain the original representation. The footprintSpatialFit is undefined (and should be left blank) if the original representation is a point and the given georeference is not that same point. If both the original and the given georeference are the same point, the footprintSpatialFit is 1.","Detailed explanations with graphical examples can be found in the ""Guide to Best Practices for Georeferencing"", Chapman and Wieczorek, eds. 2006.",103
footprintSRS,Footprint SRS,"A Well-Known Text (WKT) representation of the Spatial Reference System (SRS) for the footprintWKT of the Location. Do not use this term to describe the SRS of the decimalLatitude and decimalLongitude, even if it is the same as for the footprintWKT - use the geodeticDatum instead.","Example: The WKT for the standard WGS84 SRS (EPSG:4326) is ""GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]]"" without the enclosing quotes.",102
footprintWKT,Footprint WKT,"A Well-Known Text (WKT) representation of the shape (footprint, geometry) that defines the Location. A Location may have both a point-radius representation (see decimalLatitude) and a footprint representation, and they may differ from each other.","Example: the one-degree bounding box with opposite corners at (longitude=10, latitude=20) and (longitude=11, latitude=21) would be expressed in well-known text as POLYGON ((10 20, 11 20, 11 21, 10 21, 10 20))",101
formation,Formation,The full name of the lithostratigraphic formation from which the cataloged item was collected.,"Examples: ""Notch Peak Fromation"", ""House Limestone"", ""Fillmore Formation""",125
genus,Genus,The full scientific name of the genus in which the taxon is classified.,"Examples: ""Puma"", ""Monoclea""",157
geodeticDatum,Geodetic Datum,"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geographic coordinates given in decimalLatitude and decimalLongitude as based. Recommended best practice is use the EPSG code as a controlled vocabulary to provide an SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value ""unknown"".","Examples: ""EPSG:4326"", ""WGS84"", ""NAD27"", ""Campo Inchauspe"", ""European 1950"", ""Clarke 1866""",92
geologicalContextID,Geological Context ID,"An identifier for the set of information associated with a GeologicalContext (the location within a geological context, such as stratigraphy). May be a global unique identifier or an identifier specific to the data set.",,110
georeferencedBy,Georeferenced By,"A list (concatenated and separated) of names of people, groups, or organizations who determined the georeference (spatial representation) for the Location.","The recommended best practice is to separate the values with a vertical bar (' | '). Examples: ""Brad Millen (ROM)"", ""Kristina Yamamoto (MVZ) | Janet Fang (MVZ)"".",104
georeferencedDate,Georeferenced Date,"The date on which the Location was georeferenced. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).","Examples: ""1963-03-08T14:07-0600"" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, ""2009-02-20T08:40Z"" is 20 Feb 2009 8:40am UTC, ""1809-02-12"" is 12 Feb 1809, ""1906-06"" is Jun 1906, ""1971"" is just that year, ""2007-03-01T13:00:00Z/2008-05-11T15:30:00Z"" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, ""2007-11-13/15"" is the interval between 13 Nov 2007 and 15 Nov 2007.",105
georeferenceProtocol,Georeference Protocol,"A description or reference to the methods used to determine the spatial footprint, coordinates, and uncertainties.","Examples: ""Guide to Best Practices for Georeferencing. (Chapman and Wieczorek, eds. 2006). Global Biodiversity Information Facility."", ""MaNIS/HerpNet/ORNIS Georeferencing Guidelines"", ""Georeferencing Quick Reference Guide""",106
georeferenceRemarks,Georeference Remarks,"Notes or comments about the spatial description determination, explaining assumptions made in addition or opposition to the those formalized in the method referred to in georeferenceProtocol.","Example: ""assumed distance by road (Hwy. 101)""",109
georeferenceSources,Georeference Sources,"A list (concatenated and separated) of maps, gazetteers, or other resources used to georeference the Location, described specifically enough to allow anyone in the future to use the same resources.","The recommended best practice is to separate the values with a vertical bar (' | '). Examples: ""GeoLocate"", ""USGS 1:24000 Florence Montana Quad | Terrametrics 2008 on Google Earth"".",107
georeferenceVerificationStatus,Georeference Verification Status,A categorical description of the extent to which the georeference has been verified to represent the best possible spatial description. Recommended best practice is to use a controlled vocabulary.,"Examples: ""requires verification"", ""verified by collector"", ""verified by curator"".",108
group,Group,The full name of the lithostratigraphic group from which the cataloged item was collected.,,124
habitat,Habitat,A category or description of the habitat in which the Event occurred.,"Examples: ""oak savanna"", ""pre-cordilleran steppe""",59
higherClassification,Higher Classification,A list (concatenated and separated) of taxa names terminating at the rank immediately superior to the taxon referenced in the taxon record.,"The recommended best practice is to separate the values with a vertical bar (' | '), with terms in order from the highest taxonomic rank to the lowest. Examples: ""Animalia"", ""Animalia | Chordata | Vertebrata | Mammalia | Theria | Eutheria | Rodentia | Hystricognatha | Hystricognathi | Ctenomyidae | Ctenomyini | Ctenomys"".",151
higherGeography,Higher Geography,A list (concatenated and separated) of geographic names less specific than the information captured in the locality term.,"The recommended best practice is to separate the values with a vertical bar (' | '), with terms in order from least specific to most specific. Examples: ""North Atlantic Ocean"", ""South America | Argentina | Patagonia | Parque Nacional Nahuel Huapi | Neuquén | Los Lagos"" with accompanying values ""South America"" in Continent, ""Argentina"" in Country, ""Neuquén"" in StateProvince, and ""Los Lagos"" in County.",68
higherGeographyID,Higher Geography ID,An identifier for the geographic region within which the Location occurred. Recommended best practice is to use an persistent identifier from a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"Example: ""TGN: 1002002"" for Prov. Tierra del Fuego, Argentina",67
highestBiostratigraphicZone,Highest Biostratigraphic Zone,The full name of the highest possible geological biostratigraphic zone of the stratigraphic horizon from which the cataloged item was collected.,,122
identificationID,Identification ID,An identifier for the Identification (the body of information associated with the assignment of a scientific name). May be a global unique identifier or an identifier specific to the data set.,,128
identificationQualifier,Identification Qualifier,"A brief phrase or a standard term (""cf."", ""aff."") to express the determiner's doubts about the Identification.","Examples: 1) For the determination ""Quercus aff. agrifolia var. oxyadenia"", identificationQualifier would be ""aff. agrifolia var. oxyadenia"" with accompanying values ""Quercus"" in genus, ""agrifolia"" in specificEpithet, ""oxyadenia"" in infraspecificEpithet, and ""var."" in rank. 2) For the determination ""Quercus agrifolia cf. var. oxyadenia"", identificationQualifier would be ""cf. var. oxyadenia "" with accompanying values ""Quercus"" in genus, ""agrifolia"" in specificEpithet, ""oxyadenia"" in infraspecificEpithet, and ""var."" in rank.",129
identificationReferences,Identification References,"A list (concatenated and separated) of references (publication, global unique identifier, URI) used in the Identification.","The recommended best practice is to separate the values with a vertical bar (' | '). Examples: ""Aves del Noroeste Patagonico. Christie et al. 2004."", ""Stebbins, R. Field Guide to Western Reptiles and Amphibians. 3rd Edition. 2003. | Irschick, D.J. and Shaffer, H.B. (1997). ''The polytypic species revisited: Morphological differentiation among tiger salamanders (Ambystoma tigrinum) (Amphibia: Caudata).'' Herpetologica, 53(1), 30-49."".",133
identificationRemarks,Identification Remarks,Comments or notes about the Identification.,"Example: ""Distinguished between Anthus correndera and Anthus hellmayri based on the comparative lengths of the uñas.""",135
identificationVerificationStatus,Identification Verification Status,A categorical indicator of the extent to which the taxonomic identification has been verified to be correct. Recommended best practice is to use a controlled vocabulary such as that used in HISPID/ABCD.,"Examples: ""0"", ""4""",134
identifiedBy,Identified By,"A list (concatenated and separated) of names of people, groups, or organizations who assigned the Taxon to the subject.","The recommended best practice is to separate the values with a vertical bar (' | '). Examples: ""James L. Patton"", ""Theodore Pappenfuss | Robert Macey"".",131
individualCount,Individual Count,The number of individuals represented present at the time of the Occurrence.,"Examples: ""1"", ""25""",23
informationWithheld,Information Withheld,"Additional information that exists, but that has not been shared in the given record.","Examples: ""location information not given for endangered species"", ""collector identities withheld"", ""ask about tissue samples""",16
infraspecificEpithet,Infraspecific Epithet,"The name of the lowest or terminal infraspecific epithet of the scientificName, excluding any rank designation.","Examples: ""concolor"", ""oxyadenia"", ""sayi""",160
institutionCode,Institution Code,The name (or acronym) in use by the institution having custody of the object(s) or information referred to in the record.,"Examples: ""MVZ"", ""FMNH"", ""AKN-CLO"", ""University of California Museum of Paleontology (UCMP)""",11
institutionID,Institution ID,An identifier for the institution having custody of the object(s) or information referred to in the record.,"For physical specimens, the recommended best practice is to use an identifier from a collections registry such as the Global Registry of Biodiversity Repositories (http://grbio.org/). Examples: ""http://biocol.org/urn:lsid:biocol.org:col:34777"", ""http://grbio.org/cool/km06-gtbn"".",8
island,Island,The name of the island on or near which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"Examples: ""Isla Victoria"", ""Vancouver"", ""Viti Levu"", ""Zanzibar""",72
islandGroup,Island Group,The name of the island group in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"Examples: ""Alexander Archipelago"", ""Seychelles""",71
kingdom,Kingdom,The full scientific name of the kingdom in which the taxon is classified.,"Examples: ""Animalia"", ""Plantae""",152
latestAgeOrHighestStage,Latest AgeOr Highest Stage,The full name of the latest possible geochronologic age or highest chronostratigraphic stage attributable to the stratigraphic horizon from which the cataloged item was collected.,"Examples: ""Atlantic"", ""Boreal"", ""Skullrockian""",120
latestEonOrHighestEonothem,Latest Eon Or Highest Eonothem,"The full name of the latest possible geochronologic eon or highest chrono-stratigraphic eonothem or the informal name (""Precambrian"") attributable to the stratigraphic horizon from which the cataloged item was collected.","Examples: ""Phanerozoic"", ""Proterozoic""",112
latestEpochOrHighestSeries,Latest Epoch Or Highest Series,The full name of the latest possible geochronologic epoch or highest chronostratigraphic series attributable to the stratigraphic horizon from which the cataloged item was collected.,"Examples: ""Holocene"", ""Pleistocene"", ""Ibexian Series""",118
