TermName,Label_en,Definition,Comments,absoluteorder
latestEraOrHighestErathem,Latest Era Or Highest Erathem,The full name of the latest possible geochronologic era or highest chronostratigraphic erathem attributable to the stratigraphic horizon from which the cataloged item was collected.,"Examples: ""Cenozoic"", ""Mesozoic""",114
latestPeriodOrHighestSystem,Latest Period Or Highest System,The full name of the latest possible geochronologic period or highest chronostratigraphic system attributable to the stratigraphic horizon from which the cataloged item was collected.,"Examples: ""Neogene"", ""Tertiary"", ""Quaternary""",116
lifeStage,Life Stage,The age class or life stage of the biological individual(s) at the time the Occurrence was recorded. Recommended best practice is to use a controlled vocabulary.,"Examples: ""egg"", ""eft"", ""juvenile"", ""adult"", ""2 adults 4 juveniles""",27
lithostratigraphicTerms,Lithostratigraphic Terms,The combination of all litho-stratigraphic names for the rock from which the cataloged item was collected.,,123
locality,Locality,"The specific description of the place. Less specific geographic information can be provided in other geographic terms (higherGeography, continent, country, stateProvince, county, municipality, waterBody, island, islandGroup). This term may contain information modified from the original to correct perceived errors or standardize the description.","Example: ""Bariloche, 25 km NNE via Ruta Nacional 40 (=Ruta 237)""",78
locationAccordingTo,Location According To,"Information about the source of this Location information. Could be a publication (gazetteer), institution, or team of individuals.","Examples: ""Getty Thesaurus of Geographic Names"", ""GADM""",88
locationID,Location ID,An identifier for the set of location information (data associated with dcterms:Location). May be a global unique identifier or an identifier specific to the data set.,,66
locationRemarks,Location Remarks,Comments or notes about the Location.,"Example: ""under water since 2005""",89
lowestBiostratigraphicZone,Lowest Biostratigraphic Zone,The full name of the lowest possible geological biostratigraphic zone of the stratigraphic horizon from which the cataloged item was collected.,,121
materialSampleID,Material Sample ID,"An identifier for the MaterialSample (as opposed to a particular digital record of the material sample). In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make the materialSampleID globally unique.",,47
maximumDepthInMeters,Maximum Depth In Meters,"The greater depth of a range of depth below the local surface, in meters.","Example: ""200""",84
maximumDistanceAboveSurfaceInMeters,Maximum Distance Above Surface In Meters,"The greater distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation.","Example: 1.5 meter sediment core from the bottom of a lake (at depth 20m) at 300m elevation; VerbatimElevation: ""300m"" MinimumElevationInMeters: ""300"", MaximumElevationInMeters: ""300"", VerbatimDepth: ""20m"", MinimumDepthInMeters: ""20"", MaximumDepthInMeters: ""20"", minimumDistanceAboveSurfaceInMeters: ""0"", maximumDistanceAboveSurfaceInMeters: ""-1.5""",87
maximumElevationInMeters,Maximum Elevation In Meters,"The upper limit of the range of elevation (altitude, usually above sea level), in meters.","Example: ""200""",81
measurementAccuracy,Measurement Accuracy,The description of the potential error associated with the measurementValue.,"Examples: ""0.01"", ""normal distribution with variation of 2 m""",179
measurementDeterminedBy,Measurement Determined By,"A list (concatenated and separated) of names of people, groups, or organizations who determined the value of the MeasurementOrFact.","The recommended best practice is to separate the values with a vertical bar (' | '). Examples: ""Rob Guralnick"", ""Julie Woodruff | Eileen Lacey"".",181
measurementDeterminedDate,Measurement Determined Date,"The date on which the MeasurementOrFact was made. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).","Examples: ""1963-03-08T14:07-0600"" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, ""2009-02-20T08:40Z"" is 20 Feb 2009 8:40am UTC, ""1809-02-12"" is 12 Feb 1809, ""1906-06"" is Jun 1906, ""1971"" is just that year, ""2007-03-01T13:00:00Z/2008-05-11T15:30:00Z"" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, ""2007-11-13/15"" is the interval between 13 Nov 2007 and 15 Nov 2007.",182
measurementID,Measurement ID,"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set.",,176
measurementMethod,Measurement Method,"A description of or reference to (publication, URI) the method or protocol used to determine the measurement, fact, characteristic, or assertion.","Examples: ""minimum convex polygon around burrow entrances"" for a home range area, ""barometric altimeter"" for an elevation",183
measurementRemarks,Measurement Remarks,Comments or notes accompanying the MeasurementOrFact.,"Example: ""tip of tail missing""",184
measurementType,Measurement Type,"The nature of the measurement, fact, characteristic, or assertion. Recommended best practice is to use a controlled vocabulary.","Examples: ""tail length"", ""temperature"", ""trap line length"", ""survey area"", ""trap type""",177
measurementUnit,Measurement Unit,The units associated with the measurementValue. Recommended best practice is to use the International System of Units (SI).,"Examples: ""mm"", ""C"", ""km"", ""ha""",180
measurementValue,Measurement Value,"The value of the measurement, fact, characteristic, or assertion.","Examples: ""45"", ""20"", ""1"", ""14.5"", ""UV-light""",178
member,Member,The full name of the lithostratigraphic member from which the cataloged item was collected.,"Examples: ""Lava Dam Member"", ""Hellnmaria Member""",126
minimumDepthInMeters,Minimum Depth In Meters,"The lesser depth of a range of depth below the local surface, in meters.","Example: ""100""",83
minimumDistanceAboveSurfaceInMeters,Minimum Distance Above Surface In Meters,"The lesser distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation.","Example: 1.5 meter sediment core from the bottom of a lake (at depth 20m) at 300m elevation; VerbatimElevation: ""300m"" MinimumElevationInMeters: ""300"", MaximumElevationInMeters: ""300"", VerbatimDepth: ""20m"", MinimumDepthInMeters: ""20"", MaximumDepthInMeters: ""20"", minimumDistanceAboveSurfaceInMeters: ""0"", maximumDistanceAboveSurfaceInMeters: ""-1.5""",86
minimumElevationInMeters,Minimum Elevation In Meters,"The lower limit of the range of elevation (altitude, usually above sea level), in meters.","Example: ""100""",80
month,Month,The ordinal month in which the Event occurred.,"Examples: ""1"" (=January), ""10"" (=October)",56
municipality,Municipality,"The full, unabbreviated name of the next smaller administrative region than county (city, municipality, etc.) in which the Location occurs. Do not use this term for a nearby named place that does not contain the actual location.","Examples: ""Holzminden""",77
nameAccordingTo,Name According To,"The reference to the source in which the specific taxon concept circumscription is defined or implied - traditionally signified by the Latin ""sensu"" or ""sec."" (from secundum, meaning ""according to""). For taxa that result from identifications, a reference to the keys, monographs, experts and other sources should be given.","Example: ""McCranie, J. R., D. B. Wake, and L. D. Wilson. 1996. The taxonomic status of Bolitoglossa schmidti, with comments on the biology of the Mesoamerican salamander Bolitoglossa dofleini (Caudata: Plethodontidae). Carib. J. Sci. 32:395-398."", ""Werner Greuter 2008"", ""Lilljeborg 1861, Upsala Univ. Arsskrift, Math. Naturvet., pp. 4, 5""",148
nameAccordingToID,Name According To ID,An identifier for the source in which the specific taxon concept circumscription is defined or implied. See nameAccordingTo.,"Example: ""doi:10.1016/S0269-915X(97)80026-2""",141
namePublishedIn,Name Published In,A reference for the publication in which the scientificName was originally established under the rules of the associated nomenclaturalCode.,"Examples: ""Pearson O. P., and M. I. Christie. 1985. Historia Natural, 5(37):388"", ""Forel, Auguste, Diagnosies provisoires de quelques espèces nouvelles de fourmis de Madagascar, récoltées par M. Grandidier., Annales de la Societe Entomologique de Belgique, Comptes-rendus des Seances 30, 1886""",149
namePublishedInID,Name Published In ID,An identifier for the publication in which the scientificName was originally established under the rules of the associated nomenclaturalCode.,"Example: ""http://hdl.handle.net/10199/7""",142
namePublishedInYear,Name Published In Year,The four-digit year in which the scientificName was published.,"Examples: ""1915"", ""2008""",150
nomenclaturalCode,Nomenclatural Code,The nomenclatural code (or codes in the case of an ambiregnal name) under which the scientificName is constructed. Recommended best practice is to use a controlled vocabulary.,"Examples: ""ICBN"", ""ICZN"", ""BC"", ""ICNCP"", ""BioCode"", ""ICZN; ICBN""",165
nomenclaturalStatus,Nomenclatural Status,The status related to the original publication of the name and its conformance to the relevant rules of nomenclature. It is based essentially on an algorithm according to the business rules of the code.  It requires no taxonomic opinion.,"Examples: ""nom. ambig."", ""nom. illeg."", ""nom. subnud.""",167
occurrenceID,Occurrence ID,"An identifier for the Occurrence (as opposed to a particular digital record of the occurrence). In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make the occurrenceID globally unique.","For a specimen in the absence of a bona fide global unique identifier, for example, use the form: ""urn:catalog:[institutionCode]:[collectionCode]:[catalogNumber]. Examples: ""urn:lsid:nhm.ku.edu:Herps:32"", ""urn:catalog:FMNH:Mammal:145732""",19
occurrenceRemarks,Occurrence Remarks,Comments or notes about the Occurrence.,"Example: ""found dead on road""",39
occurrenceStatus,Occurrence Status,A statement about the presence or absence of a Taxon at a Location. Recommended best practice is to use a controlled vocabulary.,"Examples: ""present"", ""absent""",31
order,Order,The full scientific name of the order in which the taxon is classified.,"Examples: ""Carnivora"", ""Monocleales""",155
organismID,Organism ID,An identifier for the Organism instance (as opposed to a particular digital record of the Organism). May be a globally unique identifier or an identifier specific to the data set.,,40
organismName,Organism Name,A textual name or label assigned to an Organism instance.,"Examples: ""Huberta"", ""Boab Prison Tree"", ""J pod"".",41
organismQuantity,Organism Quantity,A number or enumeration value for the quantity of organisms.,"An organismQuantity must have a corresponding organismQuantityType, e.g., ""27"" for organismQuantity with ""individuals"" for organismQuantityType; ""12.5"" for organismQuantity with ""%biomass"" for organismQuantityType; ""r"" for organismQuantity with ""BraunBlanquetScale"" for organismQuantityType.",24
organismQuantityType,Organism Quantity Type,The type of quantification system used for the quantity of organisms.,"An organismQuantityType must have a corresponding organismQuantity, e.g., ""27"" for organismQuantity with ""individuals"" for organismQuantityType; ""12.5"" for organismQuantity with ""%biomass"" for organismQuantityType; ""r"" for organismQuantity with ""BraunBlanquetScale"" for organismQuantityType.",25
organismRemarks,Organism Remarks,Comments or notes about the Organism instance.,"Example: ""One of a litter of six.""",46
organismScope,Organism Scope,A description of the kind of Organism instance. Can be used to indicate whether the Organism instance represents a discrete organism or if it represents a particular type of aggregation. Recommended best practice is to use a controlled vocabulary.,"This term is not intended to be used to specify a type of taxon. To describe the kind of Organism using a URI object in RDF, use rdf:type (http://www.w3.org/1999/02/22-rdf-syntax-ns#type) instead. Examples: ""multicellular organism"", ""virus"", ""clone"" ""pack"", ""colony"".",42
originalNameUsage,Original Name Usage,"The taxon name, with authorship and date information if known, as it originally appeared when first established under the rules of the associated nomenclaturalCode. The basionym (botany) or basonym (bacteriology) of the scientificName or the senior/earlier homonym for replaced names.","Examples: ""Pinus abies"", ""Gasterosteus saltatrix Linnaeus 1768""",147
originalNameUsageID,Original Name Usage ID,An identifier for the name usage (documented meaning of the name according to a source) in which the terminal element of the scientificName was originally established under the rules of the associated nomenclaturalCode.,"Example: ""http://species.gbif.org/abies_alba_1753""",140
otherCatalogNumbers,Other Catalog Numbers,"A list (concatenated and separated) of previous or alternate fully qualified catalog numbers or other human-used identifiers for the same Occurrence, whether in the current or any other data set or collection.","The recommended best practice is to separate the values with a vertical bar (' | '). Examples: ""FMNH:Mammal:1234"", ""NPS YELLO6778 | MBG 33424"".",38
ownerInstitutionCode,Owner Institution Code,The name (or acronym) in use by the institution having ownership of the object(s) or information referred to in the record.,"Examples: ""NPS"", ""APN"", ""InBio""",14
parentEventID,Parent Event ID,An identifier for the broader Event that groups this and potentially other Events.,"May be a globally unique identifier or an identifier specific to the data set. Example: ""A1"" as parentEventID to identify the main Whittaker Plot in nested samples, each with its own eventID (e.g., ""A1:1"", ""A1:2"").",49
parentNameUsage,Parent Name Usage,"The full name, with authorship and date information if known, of the direct, most proximate higher-rank parent taxon (in a classification) of the most specific element of the scientificName.","Examples: ""Rubiaceae"", ""Gruiformes"", ""Testudinae""",146
parentNameUsageID,Parent Name Usage ID,"An identifier for the name usage (documented meaning of the name according to a source) of the direct, most proximate higher-rank parent taxon (in a classification) of the most specific element of the scientificName.","Example: ""8fa58e08-08de-4ac1-b69c-1235340b7001""",139
phylum,Phylum,The full scientific name of the phylum or division in which the taxon is classified.,"Examples: ""Chordata"" (phylum), ""Bryophyta"" (division)",153
pointRadiusSpatialFit,Point Radius Spatial Fit,"The ratio of the area of the point-radius (decimalLatitude, decimalLongitude, coordinateUncertaintyInMeters) to the area of the true (original, or most specific) spatial representation of the Location. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given point-radius does not completely contain the original representation. The pointRadiusSpatialFit is undefined (and should be left blank) if the original representation is a point without uncertainty and the given georeference is not that same point (without uncertainty). If both the original and the given georeference are the same point, the pointRadiusSpatialFit is 1.","Detailed explanations with graphical examples can be found in the ""Guide to Best Practices for Georeferencing"", Chapman and Wieczorek, eds. 2006.",95
preparations,Preparations,A list (concatenated and separated) of preparations and preservation methods for a specimen.,"The recommended best practice is to separate the values with a vertical bar (' | '). Examples: ""fossil"", ""cast"", ""photograph"", ""DNA extract"", ""skin | ""skull | skeleton"", ""whole animal (ETOH) | tissue (EDTA)"".",32
previousIdentifications,Previous Identifications,A list (concatenated and separated) of previous assignments of names to the Organism.,"The recommended best practice is to separate the values with a vertical bar (' | '). Examples: ""Chalepidae"", ""Pinus abies"", ""Anthus sp., field ID by G. Iglesias | Anthus correndera, expert ID by C. Cicero 2009-02-12 based on morphology"".",45
recordedBy,Recorded By,"A list (concatenated and separated) of names of people, groups, or organizations responsible for recording the original Occurrence. The primary collector or observer, especially one who applies a personal identifier (recordNumber), should be listed first.","The recommended best practice is to separate the values with a vertical bar (' | '). The primary collector or observer, especially one who applies a personal identifier (recordNumber), should be listed first. Examples: ""José E. Crespo"", ""Oliver P. Pearson | Anita K. Pearson"" where the value in recordNumber ""OPP 7101"" corresponds to the number for the specimen in the field catalog (collector number) of Oliver P. Pearson.",22
recordNumber,Record Number,"An identifier given to the Occurrence at the time it was recorded. Often serves as a link between field notes and an Occurrence record, such as a specimen collector's number.","Example: ""OPP 7101""",21
relatedResourceID,Related Resource ID,"An identifier for a related resource (the object, rather than the subject of the relationship).",,171
relationshipAccordingTo,Relationship According To,"The source (person, organization, publication, reference) establishing the relationship between the two resources.","Example: ""Julie Woodruff""",173
relationshipEstablishedDate,Relationship Established Date,"The date-time on which the relationship between the two resources was established. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).","Examples: ""1963-03-08T14:07-0600"" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, ""2009-02-20T08:40Z"" is 20 Feb 2009 8:40am UTC, ""1809-02-12"" is 12 Feb 1809, ""1906-06"" is Jun 1906, ""1971"" is just that year, ""2007-03-01T13:00:00Z/2008-05-11T15:30:00Z"" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, ""2007-11-13/15"" is the interval between 13 Nov 2007 and 15 Nov 2007.",174
relationshipOfResource,Relationship Of Resource,The relationship of the resource identified by relatedResourceID to the subject (optionally identified by the resourceID). Recommended best practice is to use a controlled vocabulary.,"Examples: ""duplicate of"", ""mother of"", ""endoparasite of"", ""host to"", ""sibling of"", ""valid synonym of"", ""located within""",172
relationshipRemarks,Relationship Remarks,Comments or notes about the relationship between the two resources.,"Examples: ""mother and offspring collected from the same nest"", ""pollinator captured in the act""",175
reproductiveCondition,Reproductive Condition,The reproductive condition of the biological individual(s) represented in the Occurrence. Recommended best practice is to use a controlled vocabulary.,"Examples"" ""non-reproductive"", ""pregnant"", ""in bloom"", ""fruit-bearing""",28
resourceID,Resource ID,An identifier for the resource that is the subject of the relationship.,,170
resourceRelationshipID,Resource Relationship ID,"An identifier for an instance of relationship between one resource (the subject) and another (relatedResource, the object).",,169
sampleSizeUnit,Sample Size Unit,"The unit of measurement of the size (time duration, length, area, or volume) of a sample in a sampling event.","A sampleSizeUnit must have a corresponding sampleSizeValue, e.g., ""5"" for sampleSizeValue with ""metre"" for sampleSizeUnit. Examples: ""minute"", ""hour"", ""day"", ""metre"", ""square metre"", ""cubic metre"". Recommended best practice is to use a controlled vocabulary such as the Ontology of Units of Measure http://www.wurvoc.org/vocabularies/om-1.8/ of SI units, derived units, or other non-SI units accepted for use within the SI (e.g., minute, hour, day, litre).",63
sampleSizeValue,Sample Size Value,"A numeric value for a measurement of the size (time duration, length, area, or volume) of a sample in a sampling event.","A sampleSizeValue must have a corresponding sampleSizeUnit. Example: ""5"" for sampleSizeValue with ""metre"" for sampleSizeUnit.",62
samplingEffort,Sampling Effort,The amount of effort expended during an Event.,"Examples: ""40 trap-nights"", ""10 observer-hours; 10 km by foot; 30 km by car""",61
samplingProtocol,Sampling Protocol,"The name of, reference to, or description of the method or protocol used during an Event.","Examples: ""UV light trap"", ""mist net"", ""bottom trawl"", ""ad hoc observation"", ""point count"", ""Penguins from space: faecal stains reveal the location of emperor penguin colonies, http://dx.doi.org/10.1111/j.1466-8238.2009.00467.x"", ""Takats et al. 2001. Guidelines for Nocturnal Owl Monitoring in North America. Beaverhill Bird Observatory and Bird Studies Canada, Edmonton, Alberta. 32 pp."", ""http://www.bsc-eoc.org/download/Owl.pdf""",60
scientificName,Scientific Name,"The full scientific name, with authorship and date information if known. When forming part of an Identification, this should be the name in lowest level taxonomic rank that can be determined. This term should not contain identification qualifications, which should instead be supplied in the identificationQualifier term.","Examples: ""Coleoptera"" (order), ""Vespertilionidae"" (family), ""Manis"" (genus), ""Ctenomys sociabilis"" (genus + specificEpithet), ""Ambystoma tigrinum diaboli"" (genus + specificEpithet + infraspecificEpithet), ""Roptrocerus typographi (Györfi, 1952)"" (genus + specificEpithet + scientificNameAuthorship), ""Quercus agrifolia var. oxyadenia (Torr.) J.T. Howell"" (genus + specificEpithet + taxonRank + infraspecificEpithet + scientificNameAuthorship)",144
scientificNameAuthorship,Scientific Name Authorship,The authorship information for the scientificName formatted according to the conventions of the applicable nomenclaturalCode.,"Example: ""(Torr.) J.T. Howell"", ""(Martinovský) Tzvelev"", ""(Györfi, 1952)""",163
scientificNameID,Scientific Name ID,An identifier for the nomenclatural (not taxonomic) details of a scientific name.,"Example: ""urn:lsid:ipni.org:names:37829-1:1.3""",137
sex,Sex,The sex of the biological individual(s) represented in the Occurrence. Recommended best practice is to use a controlled vocabulary.,"Examples: ""female"", ""hermaphrodite"", ""8 males, 4 females""",26
specificEpithet,Specific Epithet,The name of the first or species epithet of the scientificName.,"Examples: ""concolor"", ""gottschei""",159
startDayOfYear,Start Day Of Year,"The earliest ordinal day of the year on which the Event occurred (1 for January 1, 365 for December 31, except in a leap year, in which case it is 366).","Examples: ""1"" (=1 Jan), ""366"" (=31 Dec), ""365"" (=30 Dec in a leap year, 31 Dec in a non-leap year)",53
stateProvince,State Province,"The name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which the Location occurs.","Examples: ""Montana"", ""Minas Gerais"", ""Córdoba""",75
subgenus,Subgenus,The full scientific name of the subgenus in which the taxon is classified. Values should include the genus to avoid homonym confusion.,"Examples: ""Strobus (Pinus)"", ""Puma (Puma)"" ""Loligo (Amerigo)"", ""Hieracium subgen. Pilosella""",158
taxonConceptID,Taxon Concept ID,An identifier for the taxonomic concept to which the record refers - not for the nomenclatural details of a taxon.,"Example: ""8fa58e08-08de-4ac1-b69c-1235340b7001""",143
taxonID,Taxon ID,An identifier for the set of taxon information (data associated with the Taxon class). May be a global unique identifier or an identifier specific to the data set.,"Examples: ""8fa58e08-08de-4ac1-b69c-1235340b7001"", ""32567"", ""http://species.gbif.org/abies_alba_1753"", ""urn:lsid:gbif.org:usages:32567""",136
taxonomicStatus,Taxonomic Status,"The status of the use of the scientificName as a label for a taxon. Requires taxonomic opinion to define the scope of a taxon. Rules of priority then are used to define the taxonomic status of the nomenclature contained in that scope, combined with the experts opinion. It must be linked to a specific taxonomic reference that defines the concept. Recommended best practice is to use a controlled vocabulary.","Examples: ""invalid"", ""misapplied"", ""homotypic synonym"", ""accepted""",166
taxonRank,Taxon Rank,The taxonomic rank of the most specific name in the scientificName. Recommended best practice is to use a controlled vocabulary.,"Examples: ""subspecies"", ""varietas"", ""forma"", ""species"", ""genus""",161
taxonRemarks,Taxon Remarks,Comments or notes about the taxon or name.,"Example: ""this name is a misspelling in common use""",168
typeStatus,Type Status,"A list (concatenated and separated) of nomenclatural types (type status, typified scientific name, publication) applied to the subject.","The recommended best practice is to separate the values with a vertical bar (' | '). Examples: ""holotype of Ctenomys sociabilis. Pearson O. P., and M. I. Christie. 1985. Historia Natural, 5(37):388"", ""holotype of Pinus abies | holotype of Picea abies"".",130
verbatimCoordinates,Verbatim Coordinates,"The verbatim original spatial coordinates of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.","Examples: ""41 05 54S 121 05 34W"", ""17T 630000 4833400""",96
verbatimCoordinateSystem,Verbatim Coordinate System,The spatial coordinate system for the verbatimLatitude and verbatimLongitude or the verbatimCoordinates of the Location. Recommended best practice is to use a controlled vocabulary.,"Examples: ""decimal degrees"", ""degrees decimal minutes"", ""degrees minutes seconds"", ""UTM""",99
verbatimDepth,Verbatim Depth,The original description of the depth below the local surface.,"Example: ""100-200 m""",85
verbatimElevation,Verbatim Elevation,"The original description of the elevation (altitude, usually above sea level) of the Location.","Example: ""100-200 m""",82
verbatimEventDate,Verbatim EventDate,The verbatim original representation of the date and time information for an Event.,"Examples: ""spring 1910"", ""Marzo 2002"", ""1999-03-XX"", ""17IV1934""",58
verbatimLatitude,Verbatim Latitude,"The verbatim original latitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.","Example: ""41 05 54.03S""",97
verbatimLocality,Verbatim Locality,The original textual description of the place.,"Example: ""25 km NNE Bariloche por R. Nac. 237""",79
verbatimLongitude,Verbatim Longitude,"The verbatim original longitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.","Example: ""121d 10' 34"" W""",98
verbatimSRS,Verbatim SRS,"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which coordinates given in verbatimLatitude and verbatimLongitude, or verbatimCoordinates are based. Recommended best practice is use the EPSG code as a controlled vocabulary to provide an SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value ""unknown"".","Examples: ""EPSG:4326"", ""WGS84"", ""NAD27"", ""Campo Inchauspe"", ""European 1950"", ""Clarke 1866""",100
verbatimTaxonRank,Verbatim Taxon Rank,The taxonomic rank of the most specific name in the scientificName as it appears in the original record.,"Examples: ""Agamospecies"", ""sub-lesus"", ""prole"", ""apomict"", ""nothogrex"", ""sp."", ""subsp."", ""var.""",162
vernacularName,Vernacular Name,A common or vernacular name.,"Examples: ""Andean Condor"", ""Condor Andino"", ""American Eagle"", ""Gänsegeier""",164
waterBody,Water Body,The name of the water body in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"Examples: ""Indian Ocean"", ""Baltic Sea"", ""Hudson River""",70
year,Year,"The four-digit year in which the Event occurred, according to the Common Era Calendar.","Example: ""2008""",55
